Ambient light color: Red=0.0000 Green=0.0000 Blue=0.0000

Named object: "BlockoHandRight02"
Tri-mesh, Vertices: 162     Faces: 320
Mapped
Vertex list:
Vertex 0:  X:0.2585     Y:6.3832     Z:-0.3438     U:0.4367     V:0.6319
Vertex 30:  X:0.3150     Y:6.3813     Z:-0.1844     U:0.4136     V:0.6396
Vertex 31:  X:0.2399     Y:6.3884     Z:-0.1510     U:0.4099     V:0.6249
Vertex 32:  X:1.3569     Y:5.5632     Z:-1.7734     U:0.6239     V:0.8764
Vertex 33:  X:-1.0749     Y:6.0845     Z:-0.1106     U:0.4223     V:0.3831
Vertex 34:  X:-1.4056     Y:5.8122     Z:-1.2469     U:0.5867     V:0.3459
Vertex 35:  X:-0.8926     Y:5.7510     Z:-2.1281     U:0.7036     V:0.4586
Vertex 36:  X:1.2217     Y:5.6366     Z:1.5211     U:0.1630     V:0.7915
Vertex 37:  X:0.9888     Y:5.6627     Z:1.8816     U:0.1155     V:0.7410
Vertex 38:  X:0.3373     Y:5.9919     Z:1.5082     U:0.1762     V:0.6203
Vertex 39:  X:0.3134     Y:6.2131     Z:0.7688     U:0.2800     V:0.6252
Vertex 40:  X:-0.5127     Y:5.7923     Z:1.8421     U:0.1410     V:0.4586
Vertex 41:  X:-1.1836     Y:5.8363     Z:1.0731     U:0.2579     V:0.3459
Vertex 42:  X:0.7078     Y:4.4727     Z:-3.1217     U:0.8235     V:0.7969
Vertex 43:  X:1.3435     Y:4.4238     Z:-2.8412     U:0.7757     V:0.9118
Vertex 44:  X:1.8497     Y:4.9671     Z:-2.3710     U:0.7020     V:0.9891
Vertex 45:  X:1.8254     Y:5.2687     Z:-2.2388     U:0.6834     V:0.9772
Vertex 46:  X:-0.1522     Y:5.4235     Z:-2.8763     U:0.7992     V:0.6158
Vertex 47:  X:-0.1931     Y:5.1276     Z:-3.0614     U:0.8262     V:0.6164
Vertex 48:  X:-1.8058     Y:5.6206     Z:-0.0359     U:0.4223     V:0.2527
Vertex 49:  X:-1.9650     Y:5.3387     Z:-0.0177     U:0.4223     V:0.2273
Vertex 50:  X:-1.2857     Y:4.6544     Z:-2.6601     U:0.7852     V:0.4126
Vertex 51:  X:1.5142     Y:4.4211     Z:-2.1929     U:0.6823     V:0.9323
Vertex 52:  X:1.3278     Y:5.0448     Z:-0.4148     U:0.4343     V:0.8555
Vertex 53:  X:1.2671     Y:5.3462     Z:-0.4064     U:0.4335     V:0.8390
Vertex 54:  X:1.4416     Y:4.5068     Z:2.0474     U:0.0878     V:0.8421
Vertex 55:  X:1.1412     Y:4.5404     Z:2.5124     U:0.0265     V:0.7770
Vertex 56:  X:0.3522     Y:5.1868     Z:2.6385     U:0.0184     V:0.6164
Vertex 57:  X:0.3567     Y:5.4787     Z:2.4430     U:0.0454     V:0.6158
Vertex 58:  X:-0.7958     Y:4.7076     Z:2.4615     U:0.0594     V:0.4126
Vertex 59:  X:1.1795     Y:0.8124     Z:-2.1234     U:0.6823     V:0.9284
Vertex 60:  X:0.9968     Y:0.8378     Z:-1.5546     U:0.6049     V:0.8837
Vertex 61:  X:1.1640     Y:0.8790     Z:1.3618     U:0.1931     V:0.8626
Vertex 62:  X:1.1274     Y:0.8962     Z:2.1150     U:0.0878     V:0.8421
Vertex 63:  X:0.8269     Y:0.9299     Z:2.5799     U:0.0265     V:0.7770
Vertex 64:  X:1.3006     Y:0.0496     Z:-2.5167     U:0.7371     V:0.9707
Vertex 65:  X:1.3814     Y:0.2785     Z:-2.4293     U:0.7234     V:0.9805
Vertex 66:  X:-0.7605     Y:0.3367     Z:-3.1118     U:0.8479     V:0.5907
Vertex 67:  X:-2.5204     Y:0.4998     Z:0.0986     U:0.4205     V:0.2017
Vertex 68:  X:1.2929     Y:-0.3897     Z:-2.2258     U:0.6969     V:0.9714
Vertex 69:  X:1.4485     Y:-0.5212     Z:-1.5921     U:0.6061     V:0.9915
Vertex 70:  X:1.5602     Y:-1.0751     Z:0.9443     U:0.2492     V:0.9766
Vertex 71:  X:1.3267     Y:-1.2311     Z:1.8558     U:0.1246     V:0.9193
Vertex 72:  X:1.2298     Y:-0.6186     Z:2.3488     U:0.0558     V:0.8823
Vertex 73:  X:1.1902     Y:0.0546     Z:1.8936     U:0.1193     V:0.8717
Vertex 74:  X:-0.2475     Y:-0.5444     Z:2.8769     U:0.0014     V:0.5952
Vertex 75:  X:-0.1139     Y:0.1569     Z:2.8631     U:0.0005     V:0.6088
Vertex 76:  X:-1.5713     Y:-1.0893     Z:2.4575     U:0.0789     V:0.3639
Vertex 77:  X:-0.8311     Y:-2.3215     Z:-3.0474     U:0.8437     V:0.6205
Vertex 78:  X:-0.3523     Y:-2.5606     Z:-2.8056     U:0.8036     V:0.7098
Vertex 79:  X:0.7678     Y:-1.0448     Z:-2.5644     U:0.7525     V:0.8900
Vertex 80:  X:-3.3753     Y:-1.6884     Z:-0.3637     U:0.5001     V:0.0862
Vertex 81:  X:-1.5187     Y:-4.4011     Z:-3.7930     U:0.9606     V:0.5396
Vertex 82:  X:-0.8047     Y:-4.8053     Z:-3.1296     U:0.8585     V:0.6682
Vertex 83:  X:-1.9359     Y:-2.7587     Z:-3.2785     U:0.8916     V:0.4251
Vertex 84:  X:-4.0845     Y:-4.0562     Z:-1.3600     U:0.6530     V:0.0105
Vertex 85:  X:-4.0557     Y:-4.5166     Z:-2.8216     U:0.8585     V:0.0495
Vertex 86:  X:-3.4184     Y:-4.2324     Z:-3.6130     U:0.9606     V:0.1781
Vertex 87:  X:-0.6969     Y:-5.7733     Z:-1.0846     U:0.5713     V:0.6682
Vertex 88:  X:-1.3343     Y:-6.0576     Z:-0.2933     U:0.4691     V:0.5396
Vertex 89:  X:-2.1486     Y:-4.6071     Z:0.9693     U:0.3007     V:0.3407
Vertex 90:  X:-3.2340     Y:-5.8889     Z:-0.1133     U:0.4691     V:0.1781
Vertex 91:  X:-3.9480     Y:-5.4847     Z:-0.7766     U:0.5713     V:0.0495
Vertex 92:  X:0.8034     Y:5.8989     Z:-1.8978     U:0.6483     V:0.7695
Vertex 93:  X:1.0279     Y:5.9289     Z:0.4783     U:0.3116     V:0.7688
Vertex 94:  X:-0.1537     Y:-3.8222     Z:-2.1096     U:0.7051     V:0.7556
Vertex 95:  X:1.1132     Y:5.8643     Z:-1.3986     U:0.5741     V:0.8191
Vertex 96:  X:0.9465     Y:5.8885     Z:-1.0601     U:0.5288     V:0.7815
Vertex 97:  X:0.7872     Y:6.1296     Z:-0.8799     U:0.5053     V:0.7445
Vertex 98:  X:0.6861     Y:6.1495     Z:-0.6390     U:0.4728     V:0.7210
Vertex 99:  X:-0.9877     Y:6.0603     Z:-1.0013     U:0.5462     V:0.4156
Vertex 100:  X:-0.5996     Y:6.0140     Z:-1.6679     U:0.6347     V:0.5009
Vertex 101:  X:0.9959     Y:5.9278     Z:1.0930     U:0.2257     V:0.7520
Vertex 102:  X:0.8191     Y:5.9476     Z:1.3631     U:0.1901     V:0.7137
Vertex 103:  X:-0.3128     Y:6.0452     Z:1.3294     U:0.2099     V:0.5009
Vertex 104:  X:-0.8203     Y:6.0784     Z:0.7476     U:0.2984     V:0.4156
Vertex 105:  X:-0.0085     Y:6.2384     Z:0.6196     U:0.3052     V:0.5672
Vertex 106:  X:0.7300     Y:5.0489     Z:-3.0159     U:0.8075     V:0.7896
Vertex 107:  X:1.3698     Y:5.0000     Z:-2.7472     U:0.7613     V:0.9055
Vertex 108:  X:0.7001     Y:5.3513     Z:-2.8284     U:0.7812     V:0.7757
Vertex 109:  X:1.3394     Y:5.3027     Z:-2.5770     U:0.7373     V:0.8917
Vertex 110:  X:-1.6526     Y:5.5825     Z:-1.3580     U:0.6059     V:0.3054
Vertex 111:  X:-1.8168     Y:5.2987     Z:-1.4686     U:0.6241     V:0.2814
Vertex 112:  X:-1.0449     Y:5.5101     Z:-2.4019     U:0.7445     V:0.4389
Vertex 113:  X:-1.1767     Y:5.2224     Z:-2.5682     U:0.7700     V:0.4220
Vertex 114:  X:1.5384     Y:4.9970     Z:-2.1231     U:0.6714     V:0.9260
Vertex 115:  X:1.5076     Y:5.2990     Z:-1.9915     U:0.6529     V:0.9129
Vertex 116:  X:1.2818     Y:5.3265     Z:-1.4501     U:0.5798     V:0.8606
Vertex 117:  X:1.4677     Y:5.0648     Z:1.2194     U:0.2029     V:0.8524
Vertex 118:  X:1.3960     Y:5.3648     Z:1.1047     U:0.2195     V:0.8360
Vertex 119:  X:1.4282     Y:5.0818     Z:1.9444     U:0.1016     V:0.8318
Vertex 120:  X:1.1346     Y:5.1146     Z:2.3941     U:0.0424     V:0.7684
Vertex 121:  X:1.3489     Y:5.3816     Z:1.7845     U:0.1247     V:0.8148
Vertex 122:  X:1.0631     Y:5.4134     Z:2.2113     U:0.0686     V:0.7532
Vertex 123:  X:-0.7072     Y:5.2734     Z:2.3389     U:0.0746     V:0.4220
Vertex 124:  X:-1.5444     Y:5.3283     Z:1.3792     U:0.2205     V:0.2814
Vertex 125:  X:-0.6099     Y:5.5573     Z:2.1447     U:0.1002     V:0.4389
Vertex 126:  X:-1.4047     Y:5.6094     Z:1.2337     U:0.2387     V:0.3054
Vertex 127:  X:0.8365     Y:0.1492     Z:-2.8524     U:0.7903     V:0.8881
Vertex 128:  X:0.2950     Y:0.4010     Z:-3.0643     U:0.8269     V:0.7863
Vertex 129:  X:-2.4717     Y:0.2736     Z:-1.4073     U:0.6316     V:0.2412
Vertex 130:  X:-1.7985     Y:0.3707     Z:-2.5817     U:0.7873     V:0.3865
Vertex 131:  X:1.3448     Y:0.0208     Z:-2.1844     U:0.6898     V:0.9735
Vertex 132:  X:1.4024     Y:-0.0528     Z:-1.5434     U:0.5992     V:0.9742
Vertex 133:  X:1.2247     Y:0.2801     Z:-2.1473     U:0.6859     V:0.9461
Vertex 134:  X:1.1497     Y:0.2590     Z:-1.5453     U:0.6024     V:0.9218
Vertex 135:  X:1.5471     Y:-0.4431     Z:0.9701     U:0.2449     V:0.9632
Vertex 136:  X:1.4467     Y:-0.5530     Z:1.7793     U:0.1328     V:0.9319
Vertex 137:  X:1.2919     Y:0.1301     Z:0.9129     U:0.2555     V:0.9069
Vertex 138:  X:1.0619     Y:-0.6306     Z:2.5415     U:0.0310     V:0.8476
Vertex 139:  X:0.6344     Y:-0.6140     Z:2.7307     U:0.0102     V:0.7640
Vertex 140:  X:1.0985     Y:0.0577     Z:2.3185     U:0.0608     V:0.8470
Vertex 141:  X:0.7388     Y:0.0839     Z:2.6615     U:0.0175     V:0.7731
Vertex 142:  X:-2.0922     Y:0.3975     Z:1.5630     U:0.2093     V:0.2576
Vertex 143:  X:-0.0206     Y:-1.7185     Z:-2.8353     U:0.8021     V:0.7584
Vertex 144:  X:-2.4047     Y:-1.1937     Z:-2.5856     U:0.7983     V:0.2991
Vertex 145:  X:0.4916     Y:-2.0244     Z:-2.2954     U:0.7199     V:0.8498
Vertex 146:  X:0.9510     Y:-1.1378     Z:-2.2636     U:0.7079     V:0.9205
Vertex 147:  X:1.1319     Y:-1.3218     Z:-1.6746     U:0.6231     V:0.9470
Vertex 148:  X:0.5153     Y:-2.9471     Z:0.4603     U:0.3340     V:0.8207
Vertex 149:  X:-0.0687     Y:-3.0800     Z:1.3763     U:0.2134     V:0.6974
Vertex 150:  X:-1.8807     Y:-1.8401     Z:2.1602     U:0.1258     V:0.3237
Vertex 151:  X:-2.6986     Y:-1.4516     Z:1.2433     U:0.2650     V:0.1804
Vertex 152:  X:-0.7072     Y:-4.0367     Z:-3.0377     U:0.8431     V:0.6720
Vertex 153:  X:-1.0797     Y:-3.0214     Z:-3.2133     U:0.8713     V:0.5886
Vertex 154:  X:-0.5689     Y:-3.3153     Z:-2.8800     U:0.8181     V:0.6832
Vertex 155:  X:-2.9168     Y:-2.6554     Z:-2.9076     U:0.8525     V:0.2332
Vertex 156:  X:-1.3298     Y:-5.3967     Z:0.1591     U:0.4046     V:0.5214
Vertex 157:  X:-0.3590     Y:-4.5604     Z:-0.2337     U:0.4455     V:0.6962
Vertex 158:  X:-3.2422     Y:-5.0790     Z:0.3393     U:0.4045     V:0.1550
Vertex 159:  X:-3.8451     Y:-4.5948     Z:-0.3375     U:0.5070     V:0.0461
Vertex 160:  X:-3.0726     Y:-4.2465     Z:0.7743     U:0.3400     V:0.1652
Vertex 161:  X:-3.6694     Y:-3.7331     Z:0.0768     U:0.4452     V:0.0574
Face list:
Face 0:    A:108 B:46 C:17 AB:1 BC:1 CA:1
Smoothing: 1 
Face 1:    A:19 B:2 C:18 AB:1 BC:1 CA:1
Smoothing: 1 
Face 2:    A:92 B:0 C:97 AB:1 BC:1 CA:1
Smoothing: 1 
Face 3:    A:92 B:108 C:17 AB:1 BC:1 CA:1
Smoothing: 1 
Face 4:    A:92 B:19 C:18 AB:1 BC:1 CA:1
Smoothing: 1 
Face 5:    A:17 B:0 C:92 AB:1 BC:1 CA:1
Smoothing: 1 
Face 6:    A:18 B:108 C:92 AB:1 BC:1 CA:1
Smoothing: 1 
Face 7:    A:97 B:19 C:92 AB:1 BC:1 CA:1
Smoothing: 1 
Face 8:    A:20 B:1 C:22 AB:1 BC:1 CA:1
Smoothing: 1 
Face 9:    A:93 B:20 C:22 AB:1 BC:1 CA:1
Smoothing: 1 
Face 10:    A:21 B:20 C:93 AB:1 BC:1 CA:1
Smoothing: 1 
Face 11:    A:10 B:23 C:24 AB:1 BC:1 CA:1
Smoothing: 1 
Face 12:    A:9 B:10 C:24 AB:1 BC:1 CA:1
Smoothing: 1 
Face 13:    A:25 B:14 C:28 AB:1 BC:1 CA:1
Smoothing: 1 
Face 14:    A:27 B:12 C:145 AB:1 BC:1 CA:1
Smoothing: 1 
Face 15:    A:94 B:25 C:28 AB:1 BC:1 CA:1
Smoothing: 1 
Face 16:    A:94 B:147 C:26 AB:1 BC:1 CA:1
Smoothing: 1 
Face 17:    A:94 B:27 C:145 AB:1 BC:1 CA:1
Smoothing: 1 
Face 18:    A:26 B:25 C:94 AB:1 BC:1 CA:1
Smoothing: 1 
Face 19:    A:145 B:147 C:94 AB:1 BC:1 CA:1
Smoothing: 1 
Face 20:    A:28 B:27 C:94 AB:1 BC:1 CA:1
Smoothing: 1 
Face 21:    A:29 B:0 C:31 AB:1 BC:0 CA:1
Smoothing: 1 
Face 22:    A:31 B:30 C:1 AB:1 BC:0 CA:1
Smoothing: 1 
Face 23:    A:1 B:29 C:31 AB:1 BC:0 CA:1
Smoothing: 1 
Face 24:    A:96 B:95 C:98 AB:1 BC:0 CA:1
Smoothing: 1 
Face 25:    A:97 B:98 C:95 AB:1 BC:0 CA:1
Smoothing: 1 
Face 26:    A:32 B:2 C:95 AB:1 BC:0 CA:1
Smoothing: 1 
Face 27:    A:19 B:95 C:2 AB:1 BC:0 CA:1
Smoothing: 1 
Face 28:    A:53 B:96 C:21 AB:1 BC:0 CA:1
Smoothing: 1 
Face 29:    A:20 B:98 C:1 AB:1 BC:0 CA:1
Smoothing: 1 
Face 30:    A:0 B:29 C:97 AB:1 BC:0 CA:1
Smoothing: 1 
Face 31:    A:95 B:96 C:32 AB:1 BC:0 CA:1
Smoothing: 1 
Face 32:    A:98 B:20 C:96 AB:1 BC:0 CA:1
Smoothing: 1 
Face 33:    A:21 B:96 C:20 AB:1 BC:0 CA:1
Smoothing: 1 
Face 34:    A:29 B:1 C:97 AB:1 BC:0 CA:1
Smoothing: 1 
Face 35:    A:98 B:97 C:1 AB:1 BC:0 CA:1
Smoothing: 1 
Face 36:    A:95 B:19 C:97 AB:1 BC:0 CA:1
Smoothing: 1 
Face 37:    A:0 B:99 C:31 AB:1 BC:0 CA:1
Smoothing: 1 
Face 38:    A:99 B:34 C:33 AB:1 BC:0 CA:1
Smoothing: 1 
Face 39:    A:48 B:33 C:34 AB:1 BC:0 CA:1
Smoothing: 1 
Face 40:    A:17 B:46 C:100 AB:1 BC:0 CA:1
Smoothing: 1 
Face 41:    A:35 B:100 C:46 AB:1 BC:0 CA:1
Smoothing: 1 
Face 42:    A:33 B:31 C:99 AB:1 BC:0 CA:1
Smoothing: 1 
Face 43:    A:100 B:35 C:99 AB:1 BC:0 CA:1
Smoothing: 1 
Face 44:    A:34 B:99 C:35 AB:1 BC:0 CA:1
Smoothing: 1 
Face 45:    A:0 B:17 C:100 AB:1 BC:0 CA:1
Smoothing: 1 
Face 46:    A:99 B:0 C:100 AB:1 BC:0 CA:1
Smoothing: 1 
Face 47:    A:102 B:101 C:39 AB:1 BC:0 CA:1
Smoothing: 1 
Face 48:    A:22 B:39 C:101 AB:1 BC:0 CA:1
Smoothing: 1 
Face 49:    A:36 B:93 C:101 AB:1 BC:0 CA:1
Smoothing: 1 
Face 50:    A:102 B:38 C:37 AB:1 BC:0 CA:1
Smoothing: 1 
Face 51:    A:57 B:37 C:38 AB:1 BC:0 CA:1
Smoothing: 1 
Face 52:    A:30 B:31 C:39 AB:1 BC:0 CA:1
Smoothing: 1 
Face 53:    A:1 B:30 C:22 AB:1 BC:0 CA:1
Smoothing: 1 
Face 54:    A:37 B:36 C:102 AB:1 BC:0 CA:1
Smoothing: 1 
Face 55:    A:101 B:102 C:36 AB:1 BC:0 CA:1
Smoothing: 1 
Face 56:    A:38 B:102 C:39 AB:1 BC:0 CA:1
Smoothing: 1 
Face 57:    A:39 B:22 C:30 AB:1 BC:0 CA:1
Smoothing: 1 
Face 58:    A:101 B:93 C:22 AB:1 BC:0 CA:1
Smoothing: 1 
Face 59:    A:105 B:104 C:103 AB:1 BC:0 CA:1
Smoothing: 1 
Face 60:    A:40 B:57 C:103 AB:1 BC:0 CA:1
Smoothing: 1 
Face 61:    A:38 B:103 C:57 AB:1 BC:0 CA:1
Smoothing: 1 
Face 62:    A:104 B:33 C:41 AB:1 BC:0 CA:1
Smoothing: 1 
Face 63:    A:48 B:41 C:33 AB:1 BC:0 CA:1
Smoothing: 1 
Face 64:    A:105 B:39 C:31 AB:1 BC:0 CA:1
Smoothing: 1 
Face 65:    A:41 B:40 C:104 AB:1 BC:0 CA:1
Smoothing: 1 
Face 66:    A:103 B:104 C:40 AB:1 BC:0 CA:1
Smoothing: 1 
Face 67:    A:33 B:104 C:31 AB:1 BC:0 CA:1
Smoothing: 1 
Face 68:    A:104 B:105 C:31 AB:1 BC:0 CA:1
Smoothing: 1 
Face 69:    A:103 B:38 C:105 AB:1 BC:0 CA:1
Smoothing: 1 
Face 70:    A:39 B:105 C:38 AB:1 BC:0 CA:1
Smoothing: 1 
Face 71:    A:107 B:106 C:109 AB:1 BC:0 CA:1
Smoothing: 1 
Face 72:    A:108 B:109 C:106 AB:1 BC:0 CA:1
Smoothing: 1 
Face 73:    A:42 B:3 C:106 AB:1 BC:0 CA:1
Smoothing: 1 
Face 74:    A:47 B:106 C:3 AB:1 BC:0 CA:1
Smoothing: 1 
Face 75:    A:107 B:44 C:43 AB:1 BC:0 CA:1
Smoothing: 1 
Face 76:    A:4 B:43 C:44 AB:1 BC:0 CA:1
Smoothing: 1 
Face 77:    A:18 B:2 C:109 AB:1 BC:0 CA:1
Smoothing: 1 
Face 78:    A:45 B:109 C:2 AB:1 BC:0 CA:1
Smoothing: 1 
Face 79:    A:43 B:42 C:107 AB:1 BC:0 CA:1
Smoothing: 1 
Face 80:    A:106 B:107 C:42 AB:1 BC:0 CA:1
Smoothing: 1 
Face 81:    A:109 B:45 C:107 AB:1 BC:0 CA:1
Smoothing: 1 
Face 82:    A:44 B:107 C:45 AB:1 BC:0 CA:1
Smoothing: 1 
Face 83:    A:109 B:108 C:18 AB:1 BC:0 CA:1
Smoothing: 1 
Face 84:    A:106 B:47 C:108 AB:1 BC:0 CA:1
Smoothing: 1 
Face 85:    A:46 B:108 C:47 AB:1 BC:0 CA:1
Smoothing: 1 
Face 86:    A:111 B:110 C:113 AB:1 BC:0 CA:1
Smoothing: 1 
Face 87:    A:112 B:113 C:110 AB:1 BC:0 CA:1
Smoothing: 1 
Face 88:    A:34 B:110 C:48 AB:1 BC:0 CA:1
Smoothing: 1 
Face 89:    A:47 B:3 C:113 AB:1 BC:0 CA:1
Smoothing: 1 
Face 90:    A:50 B:113 C:3 AB:1 BC:0 CA:1
Smoothing: 1 
Face 91:    A:112 B:35 C:46 AB:1 BC:0 CA:1
Smoothing: 1 
Face 92:    A:49 B:48 C:111 AB:1 BC:0 CA:1
Smoothing: 1 
Face 93:    A:110 B:111 C:48 AB:1 BC:0 CA:1
Smoothing: 1 
Face 94:    A:113 B:50 C:111 AB:1 BC:0 CA:1
Smoothing: 1 
Face 95:    A:46 B:47 C:112 AB:1 BC:0 CA:1
Smoothing: 1 
Face 96:    A:113 B:112 C:47 AB:1 BC:0 CA:1
Smoothing: 1 
Face 97:    A:110 B:34 C:112 AB:1 BC:0 CA:1
Smoothing: 1 
Face 98:    A:35 B:112 C:34 AB:1 BC:0 CA:1
Smoothing: 1 
Face 99:    A:115 B:116 C:114 AB:1 BC:0 CA:1
Smoothing: 1 
Face 100:    A:51 B:4 C:114 AB:1 BC:0 CA:1
Smoothing: 1 
Face 101:    A:44 B:114 C:4 AB:1 BC:0 CA:1
Smoothing: 1 
Face 102:    A:96 B:53 C:116 AB:1 BC:0 CA:1
Smoothing: 1 
Face 103:    A:115 B:45 C:32 AB:1 BC:0 CA:1
Smoothing: 1 
Face 104:    A:2 B:32 C:45 AB:1 BC:0 CA:1
Smoothing: 1 
Face 105:    A:114 B:116 C:51 AB:1 BC:0 CA:1
Smoothing: 1 
Face 106:    A:52 B:116 C:53 AB:1 BC:0 CA:1
Smoothing: 1 
Face 107:    A:32 B:96 C:115 AB:1 BC:0 CA:1
Smoothing: 1 
Face 108:    A:116 B:115 C:96 AB:1 BC:0 CA:1
Smoothing: 1 
Face 109:    A:114 B:44 C:115 AB:1 BC:0 CA:1
Smoothing: 1 
Face 110:    A:45 B:115 C:44 AB:1 BC:0 CA:1
Smoothing: 1 
Face 111:    A:117 B:52 C:118 AB:1 BC:0 CA:1
Smoothing: 1 
Face 112:    A:118 B:53 C:21 AB:1 BC:0 CA:1
Smoothing: 1 
Face 113:    A:21 B:93 C:118 AB:1 BC:0 CA:1
Smoothing: 1 
Face 114:    A:53 B:118 C:52 AB:1 BC:0 CA:1
Smoothing: 1 
Face 115:    A:120 B:119 C:122 AB:1 BC:0 CA:1
Smoothing: 1 
Face 116:    A:121 B:122 C:119 AB:1 BC:0 CA:1
Smoothing: 1 
Face 117:    A:54 B:117 C:119 AB:1 BC:0 CA:1
Smoothing: 1 
Face 118:    A:120 B:56 C:55 AB:1 BC:0 CA:1
Smoothing: 1 
Face 119:    A:5 B:55 C:56 AB:1 BC:0 CA:1
Smoothing: 1 
Face 120:    A:37 B:57 C:122 AB:1 BC:0 CA:1
Smoothing: 1 
Face 121:    A:121 B:118 C:36 AB:1 BC:0 CA:1
Smoothing: 1 
Face 122:    A:93 B:36 C:118 AB:1 BC:0 CA:1
Smoothing: 1 
Face 123:    A:55 B:54 C:120 AB:1 BC:0 CA:1
Smoothing: 1 
Face 124:    A:119 B:120 C:54 AB:1 BC:0 CA:1
Smoothing: 1 
Face 125:    A:122 B:57 C:120 AB:1 BC:0 CA:1
Smoothing: 1 
Face 126:    A:56 B:120 C:57 AB:1 BC:0 CA:1
Smoothing: 1 
Face 127:    A:36 B:37 C:121 AB:1 BC:0 CA:1
Smoothing: 1 
Face 128:    A:122 B:121 C:37 AB:1 BC:0 CA:1
Smoothing: 1 
Face 129:    A:119 B:117 C:121 AB:1 BC:0 CA:1
Smoothing: 1 
Face 130:    A:118 B:121 C:117 AB:1 BC:0 CA:1
Smoothing: 1 
Face 131:    A:124 B:123 C:126 AB:1 BC:0 CA:1
Smoothing: 1 
Face 132:    A:125 B:126 C:123 AB:1 BC:0 CA:1
Smoothing: 1 
Face 133:    A:58 B:5 C:123 AB:1 BC:0 CA:1
Smoothing: 1 
Face 134:    A:56 B:123 C:5 AB:1 BC:0 CA:1
Smoothing: 1 
Face 135:    A:41 B:48 C:126 AB:1 BC:0 CA:1
Smoothing: 1 
Face 136:    A:125 B:57 C:40 AB:1 BC:0 CA:1
Smoothing: 1 
Face 137:    A:123 B:124 C:58 AB:1 BC:0 CA:1
Smoothing: 1 
Face 138:    A:126 B:48 C:124 AB:1 BC:0 CA:1
Smoothing: 1 
Face 139:    A:49 B:124 C:48 AB:1 BC:0 CA:1
Smoothing: 1 
Face 140:    A:40 B:41 C:125 AB:1 BC:0 CA:1
Smoothing: 1 
Face 141:    A:126 B:125 C:41 AB:1 BC:0 CA:1
Smoothing: 1 
Face 142:    A:123 B:56 C:125 AB:1 BC:0 CA:1
Smoothing: 1 
Face 143:    A:57 B:125 C:56 AB:1 BC:0 CA:1
Smoothing: 1 
Face 144:    A:6 B:43 C:4 AB:1 BC:0 CA:1
Smoothing: 1 
