Ambient light color: Red=0.0000 Green=0.0000 Blue=0.0000

Named object: "BlockoHandRight"
Tri-mesh, Vertices: 162     Faces: 320
Mapped
Vertex list:
Vertex 0:  X:-0.3396     Y:6.4827     Z:-0.3438     U:0.4367     V:0.6319
Vertex 80:  X:2.9386     Y:-1.7397     Z:-0.3637     U:0.5001     V:0.0862
Vertex 81:  X:0.9655     Y:-4.3688     Z:-3.7930     U:0.9606     V:0.5396
Vertex 82:  X:0.2346     Y:-4.7415     Z:-3.1296     U:0.8585     V:0.6682
Vertex 83:  X:1.4540     Y:-2.7462     Z:-3.2785     U:0.8916     V:0.4251
Vertex 84:  X:3.5439     Y:-4.1362     Z:-1.3600     U:0.6530     V:0.0105
Vertex 85:  X:3.4951     Y:-4.5949     Z:-2.8216     U:0.8585     V:0.0495
Vertex 86:  X:2.8708     Y:-4.2831     Z:-3.6130     U:0.9606     V:0.1781
Vertex 87:  X:0.0847     Y:-5.7039     Z:-1.0846     U:0.5713     V:0.6682
Vertex 88:  X:0.7090     Y:-6.0157     Z:-0.2933     U:0.4691     V:0.5396
Vertex 89:  X:1.5858     Y:-4.6021     Z:0.9693     U:0.3007     V:0.3407
Vertex 90:  X:2.6142     Y:-5.9301     Z:-0.1133     U:0.4691     V:0.1781
Vertex 91:  X:3.3452     Y:-5.5573     Z:-0.7766     U:0.5713     V:0.0495
Vertex 92:  X:-0.9051     Y:6.0227     Z:-1.8978     U:0.6483     V:0.7695
Vertex 93:  X:-1.1280     Y:6.0624     Z:0.4783     U:0.3116     V:0.7688
Vertex 94:  X:-0.3729     Y:-3.7310     Z:-2.1096     U:0.7051     V:0.7556
Vertex 95:  X:-1.2161     Y:6.0016     Z:-1.3986     U:0.5741     V:0.8191
Vertex 96:  X:-1.0485     Y:6.0185     Z:-1.0601     U:0.5288     V:0.7815
Vertex 97:  X:-0.8789     Y:6.2524     Z:-0.8799     U:0.5053     V:0.7445
Vertex 98:  X:-0.7770     Y:6.2679     Z:-0.6390     U:0.4728     V:0.7210
Vertex 99:  X:0.8913     Y:6.1057     Z:-1.0013     U:0.5462     V:0.4156
Vertex 100:  X:0.5016     Y:6.0765     Z:-1.6679     U:0.6347     V:0.5009
Vertex 101:  X:-1.0961     Y:6.0599     Z:1.0930     U:0.2257     V:0.7520
Vertex 102:  X:-0.9187     Y:6.0720     Z:1.3631     U:0.1901     V:0.7137
Vertex 103:  X:0.2165     Y:6.1201     Z:1.3294     U:0.2099     V:0.5009
Vertex 104:  X:0.7249     Y:6.1312     Z:0.7476     U:0.2984     V:0.4156
Vertex 105:  X:-0.0791     Y:6.3264     Z:0.6196     U:0.3052     V:0.5672
Vertex 106:  X:-0.8688     Y:5.1703     Z:-3.0159     U:0.8075     V:0.7896
Vertex 107:  X:-1.5102     Y:5.1493     Z:-2.7472     U:0.7613     V:0.9055
Vertex 108:  X:-0.8257     Y:5.4711     Z:-2.8284     U:0.7812     V:0.7757
Vertex 109:  X:-1.4666     Y:5.4504     Z:-2.5770     U:0.7373     V:0.8917
Vertex 110:  X:1.5348     Y:5.5994     Z:-1.3580     U:0.6059     V:0.3054
Vertex 111:  X:1.6865     Y:5.3087     Z:-1.4686     U:0.6241     V:0.2814
Vertex 112:  X:0.9245     Y:5.5536     Z:-2.4019     U:0.7445     V:0.4389
Vertex 113:  X:1.0436     Y:5.2604     Z:-2.5682     U:0.7700     V:0.4220
Vertex 114:  X:-1.6787     Y:5.1537     Z:-2.1231     U:0.6714     V:0.9260
Vertex 115:  X:-1.6348     Y:5.4540     Z:-1.9915     U:0.6529     V:0.9129
Vertex 116:  X:-1.4080     Y:5.4717     Z:-1.4501     U:0.5798     V:0.8606
Vertex 117:  X:-1.6052     Y:5.2183     Z:1.2194     U:0.2029     V:0.8524
Vertex 118:  X:-1.5205     Y:5.5149     Z:1.1047     U:0.2195     V:0.8360
Vertex 119:  X:-1.5649     Y:5.2336     Z:1.9444     U:0.1016     V:0.8318
Vertex 120:  X:-1.2702     Y:5.2535     Z:2.3941     U:0.0424     V:0.7684
Vertex 121:  X:-1.4726     Y:5.5296     Z:1.7845     U:0.1247     V:0.8148
Vertex 122:  X:-1.1857     Y:5.5489     Z:2.2113     U:0.0686     V:0.7532
Vertex 123:  X:0.5768     Y:5.3318     Z:2.3389     U:0.0746     V:0.4220
Vertex 124:  X:1.4156     Y:5.3502     Z:1.3792     U:0.2205     V:0.2814
Vertex 125:  X:0.4920     Y:5.6197     Z:2.1447     U:0.1002     V:0.4389
Vertex 126:  X:1.2882     Y:5.6371     Z:1.2337     U:0.2387     V:0.3054
Vertex 127:  X:-1.1890     Y:0.2799     Z:-2.8524     U:0.7903     V:0.8881
Vertex 128:  X:-0.6370     Y:0.5078     Z:-3.0643     U:0.8269     V:0.7863
Vertex 129:  X:2.1215     Y:0.2599     Z:-1.4073     U:0.6316     V:0.2412
Vertex 130:  X:1.4532     Y:0.3862     Z:-2.5817     U:0.7873     V:0.3865
Vertex 131:  X:-1.7023     Y:0.1738     Z:-2.1844     U:0.6898     V:0.9735
Vertex 132:  X:-1.7632     Y:0.1028     Z:-1.5434     U:0.5992     V:0.9742
Vertex 133:  X:-1.5710     Y:0.4276     Z:-2.1473     U:0.6859     V:0.9461
Vertex 134:  X:-1.4971     Y:0.4032     Z:-1.5453     U:0.6024     V:0.9218
Vertex 135:  X:-1.9247     Y:-0.2809     Z:0.9701     U:0.2449     V:0.9632
Vertex 136:  X:-1.8292     Y:-0.3950     Z:1.7793     U:0.1328     V:0.9319
Vertex 137:  X:-1.6447     Y:0.2806     Z:0.9129     U:0.2555     V:0.9069
Vertex 138:  X:-1.4481     Y:-0.4894     Z:2.5415     U:0.0310     V:0.8476
Vertex 139:  X:-1.0204     Y:-0.4915     Z:2.7307     U:0.0102     V:0.7640
Vertex 140:  X:-1.4547     Y:0.1999     Z:2.3185     U:0.0608     V:0.8470
Vertex 141:  X:-1.0942     Y:0.2104     Z:2.6615     U:0.0175     V:0.7731
Vertex 142:  X:1.7477     Y:0.4002     Z:1.5630     U:0.2093     V:0.2576
Vertex 143:  X:-0.4142     Y:-1.6235     Z:-2.8353     U:0.8021     V:0.7584
Vertex 144:  X:1.9905     Y:-1.2031     Z:-2.5856     U:0.7983     V:0.2991
Vertex 145:  X:-0.9392     Y:-1.9067     Z:-2.2955     U:0.7199     V:0.8498
Vertex 146:  X:-1.3595     Y:-1.0009     Z:-2.2636     U:0.7079     V:0.9205
Vertex 147:  X:-1.5482     Y:-1.1768     Z:-1.6746     U:0.6231     V:0.9470
Vertex 148:  X:-1.0031     Y:-2.8275     Z:0.4603     U:0.3340     V:0.8207
Vertex 149:  X:-0.4254     Y:-2.9857     Z:1.3763     U:0.2134     V:0.6974
Vertex 150:  X:1.4389     Y:-1.8261     Z:2.1602     U:0.1258     V:0.3237
Vertex 151:  X:2.2730     Y:-1.4736     Z:1.2433     U:0.2650     V:0.1804
Vertex 152:  X:0.1707     Y:-3.9693     Z:-3.0377     U:0.8431     V:0.6720
Vertex 153:  X:0.5871     Y:-2.9713     Z:-3.2133     U:0.8713     V:0.5886
Vertex 154:  X:0.0640     Y:-3.2426     Z:-2.8800     U:0.8181     V:0.6832
Vertex 155:  X:2.4385     Y:-2.6858     Z:-2.9076     U:0.8525     V:0.2332
Vertex 156:  X:0.7334     Y:-5.3553     Z:0.1591     U:0.4046     V:0.5214
Vertex 157:  X:-0.2000     Y:-4.4774     Z:-0.2337     U:0.4455     V:0.6962
Vertex 158:  X:2.6578     Y:-5.1213     Z:0.3393     U:0.4045     V:0.1550
Vertex 159:  X:3.2813     Y:-4.6639     Z:-0.3375     U:0.5070     V:0.0461
Vertex 160:  X:2.5247     Y:-4.2821     Z:0.7743     U:0.3400     V:0.1652
Vertex 161:  X:3.1433     Y:-3.7953     Z:0.0768     U:0.4452     V:0.0574
Face list:
Face 0:    A:46 B:108 C:17 AB:1 BC:1 CA:1
Smoothing: 1 
Face 1:    A:2 B:19 C:18 AB:1 BC:1 CA:1
Smoothing: 1 
Face 2:    A:0 B:92 C:97 AB:1 BC:1 CA:1
Smoothing: 1 
Face 3:    A:108 B:92 C:17 AB:1 BC:1 CA:1
Smoothing: 1 
Face 4:    A:19 B:92 C:18 AB:1 BC:1 CA:1
Smoothing: 1 
Face 5:    A:0 B:17 C:92 AB:1 BC:1 CA:1
Smoothing: 1 
Face 6:    A:108 B:18 C:92 AB:1 BC:1 CA:1
Smoothing: 1 
Face 7:    A:19 B:97 C:92 AB:1 BC:1 CA:1
Smoothing: 1 
Face 8:    A:1 B:20 C:22 AB:1 BC:1 CA:1
Smoothing: 1 
Face 9:    A:20 B:93 C:22 AB:1 BC:1 CA:1
Smoothing: 1 
Face 10:    A:20 B:21 C:93 AB:1 BC:1 CA:1
Smoothing: 1 
Face 11:    A:23 B:10 C:24 AB:1 BC:1 CA:1
Smoothing: 1 
Face 12:    A:10 B:9 C:24 AB:1 BC:1 CA:1
Smoothing: 1 
Face 13:    A:14 B:25 C:28 AB:1 BC:1 CA:1
Smoothing: 1 
Face 14:    A:12 B:27 C:145 AB:1 BC:1 CA:1
Smoothing: 1 
Face 15:    A:25 B:94 C:28 AB:1 BC:1 CA:1
Smoothing: 1 
Face 16:    A:147 B:94 C:26 AB:1 BC:1 CA:1
Smoothing: 1 
Face 17:    A:27 B:94 C:145 AB:1 BC:1 CA:1
Smoothing: 1 
Face 18:    A:25 B:26 C:94 AB:1 BC:1 CA:1
Smoothing: 1 
Face 19:    A:147 B:145 C:94 AB:1 BC:1 CA:1
Smoothing: 1 
Face 20:    A:27 B:28 C:94 AB:1 BC:1 CA:1
Smoothing: 1 
Face 21:    A:0 B:29 C:31 AB:1 BC:1 CA:0
Smoothing: 1 
Face 22:    A:30 B:31 C:1 AB:1 BC:1 CA:0
Smoothing: 1 
Face 23:    A:29 B:1 C:31 AB:1 BC:1 CA:0
Smoothing: 1 
Face 24:    A:95 B:96 C:98 AB:1 BC:1 CA:0
Smoothing: 1 
Face 25:    A:98 B:97 C:95 AB:1 BC:1 CA:0
Smoothing: 1 
Face 26:    A:2 B:32 C:95 AB:1 BC:1 CA:0
Smoothing: 1 
Face 27:    A:95 B:19 C:2 AB:1 BC:1 CA:0
Smoothing: 1 
Face 28:    A:96 B:53 C:21 AB:1 BC:1 CA:0
Smoothing: 1 
Face 29:    A:98 B:20 C:1 AB:1 BC:1 CA:0
Smoothing: 1 
Face 30:    A:29 B:0 C:97 AB:1 BC:1 CA:0
Smoothing: 1 
Face 31:    A:96 B:95 C:32 AB:1 BC:1 CA:0
Smoothing: 1 
Face 32:    A:20 B:98 C:96 AB:1 BC:1 CA:0
Smoothing: 1 
Face 33:    A:96 B:21 C:20 AB:1 BC:1 CA:0
Smoothing: 1 
Face 34:    A:1 B:29 C:97 AB:1 BC:1 CA:0
Smoothing: 1 
Face 35:    A:97 B:98 C:1 AB:1 BC:1 CA:0
Smoothing: 1 
Face 36:    A:19 B:95 C:97 AB:1 BC:1 CA:0
Smoothing: 1 
Face 37:    A:99 B:0 C:31 AB:1 BC:1 CA:0
Smoothing: 1 
Face 38:    A:34 B:99 C:33 AB:1 BC:1 CA:0
Smoothing: 1 
Face 39:    A:33 B:48 C:34 AB:1 BC:1 CA:0
Smoothing: 1 
Face 40:    A:46 B:17 C:100 AB:1 BC:1 CA:0
Smoothing: 1 
Face 41:    A:100 B:35 C:46 AB:1 BC:1 CA:0
Smoothing: 1 
Face 42:    A:31 B:33 C:99 AB:1 BC:1 CA:0
Smoothing: 1 
Face 43:    A:35 B:100 C:99 AB:1 BC:1 CA:0
Smoothing: 1 
Face 44:    A:99 B:34 C:35 AB:1 BC:1 CA:0
Smoothing: 1 
Face 45:    A:17 B:0 C:100 AB:1 BC:1 CA:0
Smoothing: 1 
Face 46:    A:0 B:99 C:100 AB:1 BC:1 CA:0
Smoothing: 1 
Face 47:    A:101 B:102 C:39 AB:1 BC:1 CA:0
Smoothing: 1 
Face 48:    A:39 B:22 C:101 AB:1 BC:1 CA:0
Smoothing: 1 
Face 49:    A:93 B:36 C:101 AB:1 BC:1 CA:0
Smoothing: 1 
Face 50:    A:38 B:102 C:37 AB:1 BC:1 CA:0
Smoothing: 1 
Face 51:    A:37 B:57 C:38 AB:1 BC:1 CA:0
Smoothing: 1 
Face 52:    A:31 B:30 C:39 AB:1 BC:1 CA:0
Smoothing: 1 
Face 53:    A:30 B:1 C:22 AB:1 BC:1 CA:0
Smoothing: 1 
Face 54:    A:36 B:37 C:102 AB:1 BC:1 CA:0
Smoothing: 1 
Face 55:    A:102 B:101 C:36 AB:1 BC:1 CA:0
Smoothing: 1 
Face 56:    A:102 B:38 C:39 AB:1 BC:1 CA:0
Smoothing: 1 
Face 57:    A:22 B:39 C:30 AB:1 BC:1 CA:0
Smoothing: 1 
Face 58:    A:93 B:101 C:22 AB:1 BC:1 CA:0
Smoothing: 1 
Face 59:    A:104 B:105 C:103 AB:1 BC:1 CA:0
Smoothing: 1 
Face 60:    A:57 B:40 C:103 AB:1 BC:1 CA:0
Smoothing: 1 
Face 61:    A:103 B:38 C:57 AB:1 BC:1 CA:0
Smoothing: 1 
Face 62:    A:33 B:104 C:41 AB:1 BC:1 CA:0
Smoothing: 1 
Face 63:    A:41 B:48 C:33 AB:1 BC:1 CA:0
Smoothing: 1 
Face 64:    A:39 B:105 C:31 AB:1 BC:1 CA:0
Smoothing: 1 
Face 65:    A:40 B:41 C:104 AB:1 BC:1 CA:0
Smoothing: 1 
Face 66:    A:104 B:103 C:40 AB:1 BC:1 CA:0
Smoothing: 1 
Face 67:    A:104 B:33 C:31 AB:1 BC:1 CA:0
Smoothing: 1 
Face 68:    A:105 B:104 C:31 AB:1 BC:1 CA:0
Smoothing: 1 
Face 69:    A:38 B:103 C:105 AB:1 BC:1 CA:0
Smoothing: 1 
Face 70:    A:105 B:39 C:38 AB:1 BC:1 CA:0
Smoothing: 1 
Face 71:    A:106 B:107 C:109 AB:1 BC:1 CA:0
Smoothing: 1 
Face 72:    A:109 B:108 C:106 AB:1 BC:1 CA:0
Smoothing: 1 
Face 73:    A:3 B:42 C:106 AB:1 BC:1 CA:0
Smoothing: 1 
Face 74:    A:106 B:47 C:3 AB:1 BC:1 CA:0
Smoothing: 1 
Face 75:    A:44 B:107 C:43 AB:1 BC:1 CA:0
Smoothing: 1 
Face 76:    A:43 B:4 C:44 AB:1 BC:1 CA:0
Smoothing: 1 
Face 77:    A:2 B:18 C:109 AB:1 BC:1 CA:0
Smoothing: 1 
Face 78:    A:109 B:45 C:2 AB:1 BC:1 CA:0
Smoothing: 1 
Face 79:    A:42 B:43 C:107 AB:1 BC:1 CA:0
Smoothing: 1 
Face 80:    A:107 B:106 C:42 AB:1 BC:1 CA:0
Smoothing: 1 
Face 81:    A:45 B:109 C:107 AB:1 BC:1 CA:0
Smoothing: 1 
Face 82:    A:107 B:44 C:45 AB:1 BC:1 CA:0
Smoothing: 1 
Face 83:    A:108 B:109 C:18 AB:1 BC:1 CA:0
Smoothing: 1 
Face 84:    A:47 B:106 C:108 AB:1 BC:1 CA:0
Smoothing: 1 
Face 85:    A:108 B:46 C:47 AB:1 BC:1 CA:0
Smoothing: 1 
Face 86:    A:110 B:111 C:113 AB:1 BC:1 CA:0
Smoothing: 1 
Face 87:    A:113 B:112 C:110 AB:1 BC:1 CA:0
Smoothing: 1 
Face 88:    A:110 B:34 C:48 AB:1 BC:1 CA:0
Smoothing: 1 
Face 89:    A:3 B:47 C:113 AB:1 BC:1 CA:0
Smoothing: 1 
Face 90:    A:113 B:50 C:3 AB:1 BC:1 CA:0
Smoothing: 1 
Face 91:    A:35 B:112 C:46 AB:1 BC:1 CA:0
Smoothing: 1 
Face 92:    A:48 B:49 C:111 AB:1 BC:1 CA:0
Smoothing: 1 
Face 93:    A:111 B:110 C:48 AB:1 BC:1 CA:0
Smoothing: 1 
Face 94:    A:50 B:113 C:111 AB:1 BC:1 CA:0
Smoothing: 1 
Face 95:    A:47 B:46 C:112 AB:1 BC:1 CA:0
Smoothing: 1 
Face 96:    A:112 B:113 C:47 AB:1 BC:1 CA:0
Smoothing: 1 
Face 97:    A:34 B:110 C:112 AB:1 BC:1 CA:0
Smoothing: 1 
Face 98:    A:112 B:35 C:34 AB:1 BC:1 CA:0
Smoothing: 1 
Face 99:    A:116 B:115 C:114 AB:1 BC:1 CA:0
Smoothing: 1 
Face 100:    A:4 B:51 C:114 AB:1 BC:1 CA:0
Smoothing: 1 
Face 101:    A:114 B:44 C:4 AB:1 BC:1 CA:0
Smoothing: 1 
Face 102:    A:53 B:96 C:116 AB:1 BC:1 CA:0
Smoothing: 1 
Face 103:    A:45 B:115 C:32 AB:1 BC:1 CA:0
Smoothing: 1 
Face 104:    A:32 B:2 C:45 AB:1 BC:1 CA:0
Smoothing: 1 
Face 105:    A:116 B:114 C:51 AB:1 BC:1 CA:0
Smoothing: 1 
Face 106:    A:116 B:52 C:53 AB:1 BC:1 CA:0
Smoothing: 1 
Face 107:    A:96 B:32 C:115 AB:1 BC:1 CA:0
Smoothing: 1 
Face 108:    A:115 B:116 C:96 AB:1 BC:1 CA:0
Smoothing: 1 
Face 109:    A:44 B:114 C:115 AB:1 BC:1 CA:0
Smoothing: 1 
Face 110:    A:115 B:45 C:44 AB:1 BC:1 CA:0
Smoothing: 1 
Face 111:    A:52 B:117 C:118 AB:1 BC:1 CA:0
Smoothing: 1 
Face 112:    A:53 B:118 C:21 AB:1 BC:1 CA:0
Smoothing: 1 
Face 113:    A:93 B:21 C:118 AB:1 BC:1 CA:0
Smoothing: 1 
Face 114:    A:118 B:53 C:52 AB:1 BC:1 CA:0
Smoothing: 1 
Face 115:    A:119 B:120 C:122 AB:1 BC:1 CA:0
Smoothing: 1 
Face 116:    A:122 B:121 C:119 AB:1 BC:1 CA:0
Smoothing: 1 
Face 117:    A:117 B:54 C:119 AB:1 BC:1 CA:0
Smoothing: 1 
Face 118:    A:56 B:120 C:55 AB:1 BC:1 CA:0
Smoothing: 1 
Face 119:    A:55 B:5 C:56 AB:1 BC:1 CA:0
Smoothing: 1 
Face 120:    A:57 B:37 C:122 AB:1 BC:1 CA:0
Smoothing: 1 
Face 121:    A:118 B:121 C:36 AB:1 BC:1 CA:0
Smoothing: 1 
Face 122:    A:36 B:93 C:118 AB:1 BC:1 CA:0
Smoothing: 1 
Face 123:    A:54 B:55 C:120 AB:1 BC:1 CA:0
Smoothing: 1 
Face 124:    A:120 B:119 C:54 AB:1 BC:1 CA:0
Smoothing: 1 
Face 125:    A:57 B:122 C:120 AB:1 BC:1 CA:0
Smoothing: 1 
Face 126:    A:120 B:56 C:57 AB:1 BC:1 CA:0
Smoothing: 1 
Face 127:    A:37 B:36 C:121 AB:1 BC:1 CA:0
Smoothing: 1 
Face 128:    A:121 B:122 C:37 AB:1 BC:1 CA:0
Smoothing: 1 
Face 129:    A:117 B:119 C:121 AB:1 BC:1 CA:0
Smoothing: 1 
Face 130:    A:121 B:118 C:117 AB:1 BC:1 CA:0
Smoothing: 1 
Face 131:    A:123 B:124 C:126 AB:1 BC:1 CA:0
Smoothing: 1 
Face 132:    A:126 B:125 C:123 AB:1 BC:1 CA:0
Smoothing: 1 
Face 133:    A:5 B:58 C:123 AB:1 BC:1 CA:0
Smoothing: 1 
Face 134:    A:123 B:56 C:5 AB:1 BC:1 CA:0
Smoothing: 1 
Face 135:    A:48 B:41 C:126 AB:1 BC:1 CA:0
Smoothing: 1 
Face 136:    A:57 B:125 C:40 AB:1 BC:1 CA:0
Smoothing: 1 
Face 137:    A:124 B:123 C:58 AB:1 BC:1 CA:0
Smoothing: 1 
Face 138:    A:48 B:126 C:124 AB:1 BC:1 CA:0
Smoothing: 1 
Face 139:    A:124 B:49 C:48 AB:1 BC:1 CA:0
Smoothing: 1 
Face 140:    A:41 B:40 C:125 AB:1 BC:1 CA:0
Smoothing: 1 
Face 141:    A:125 B:126 C:41 AB:1 BC:1 CA:0
Smoothing: 1 
Face 142:    A:56 B:123 C:125 AB:1 BC:1 CA:0
Smoothing: 1 
Face 143:    A:125 B:57 C:56 AB:1 BC:1 CA:0
Smoothing: 1 
Face 144:    A:43 B:6 C:4 AB:1 BC:1 CA:0
